title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Caught by a Wave,694256,3/25/2021,1h 39m,2,"Drama,Romance",68,2,Italian,"2,000,000.00", NaN,https://www.themoviedb.org/movie/694256
I Spit on Your Grave 2,207768,8/25/2013,1h 46m,3,"Thriller,Horror,Crime",64,7,English, NaN,"678,604.00",https://www.themoviedb.org/movie/207768
Ballerina,342473,12/14/2016,1h 29m,4,"Animation,Adventure,Comedy,Family",72,12,English,"30,000,000.00","2,351,359.00",https://www.themoviedb.org/movie/342473
The Card Counter,643532,9/3/2021,1h 51m,3,"Drama,Thriller,Crime",65,5,English, NaN,"3,414,917.00",https://www.themoviedb.org/movie/643532
The Boy and the Beast,315465,7/11/2015,1h 59m,5,"Animation,Fantasy,Action,Adventure,Drama",81,14,Japanese, NaN,"49,714,378.00",https://www.themoviedb.org/movie/315465
Happy Feet,9836,11/16/2006,1h 48m,3,"Animation,Comedy,Family",61,13,English,"100,000,000.00","384,335,608.00",https://www.themoviedb.org/movie/9836
Vehicle 19,180948,3/7/2013,1h 25m,2,"Thriller,Action",53,2,English, NaN, NaN,https://www.themoviedb.org/movie/180948
Fantastic Planet,16306,12/1/1973,1h 12m,2,"Animation,Science Fiction",77,8,French, NaN, NaN,https://www.themoviedb.org/movie/16306
Silver Linings Playbook,82693,9/8/2012,2h 2m,3,"Drama,Comedy,Romance",71,11,English,"21,000,000.00","236,412,453.00",https://www.themoviedb.org/movie/82693
This Is the End,109414,6/12/2013,1h 47m,2,"Action,Comedy",62,19,English,"32,000,000.00","126,041,322.00",https://www.themoviedb.org/movie/109414
Rocky IV,1374,11/21/1985,1h 31m,1,Drama,70,16,English,"31,000,000.00","300,473,716.00",https://www.themoviedb.org/movie/1374
The Protector 2,110552,10/23/2013,1h 44m,1,Action,59,1,Thai, NaN,"3,302,463.00",https://www.themoviedb.org/movie/110552
The Barbie Diaries,21705,5/17/2006,1h 10m,2,"Family,Animation",62,7,English, NaN, NaN,https://www.themoviedb.org/movie/21705
Honest Days,873037,9/18/2021,1h 19m,1,Drama,43,0,Spanish; Castilian, NaN, NaN,https://www.themoviedb.org/movie/873037
The Haunting of Margam Castle,738542,9/1/2020,1h 21m,1,Horror,59,0,English, NaN, NaN,https://www.themoviedb.org/movie/738542
Children of the Corn,10823,3/9/1984,1h 33m,2,"Horror,Thriller",57,11,English,"800,000.00","14,568,989.00",https://www.themoviedb.org/movie/10823
The Sixth Sense,745,8/6/1999,1h 47m,3,"Mystery,Thriller,Drama",79,19,English,"40,000,000.00","672,806,292.00",https://www.themoviedb.org/movie/745
The Sword in the Stone,9078,12/25/1963,1h 19m,2,"Animation,Family",72,7,English,"3,000,000.00","22,182,353.00",https://www.themoviedb.org/movie/9078
Seven Minutes,25259,6/12/2009,1h 42m,1,Comedy,39,1,Spanish; Castilian, NaN, NaN,https://www.themoviedb.org/movie/25259
Dark Web: Cicada 3301,791469,3/12/2021,1h 44m,3,"Thriller,Action,Comedy",64,0,English, NaN, NaN,https://www.themoviedb.org/movie/791469
Never Back Down 2: The Beatdown,70006,9/13/2011,1h 39m,2,"Drama,Action",64,9,English,"3,000,000.00", NaN,https://www.themoviedb.org/movie/70006
The Lego Star Wars Holiday Special,732670,11/17/2020,44m,5,"Animation,Family,Adventure,Comedy,Science Fiction",67,3,English, NaN, NaN,https://www.themoviedb.org/movie/732670
Diary of a Nymphomaniac,19173,10/17/2008,1h 42m,2,"Drama,Romance",56,6,Spanish; Castilian, NaN, NaN,https://www.themoviedb.org/movie/19173
